t,action,id,label,level,group
0,1,2,2,2,21
0,1,3,3,2,11
0,1,4,4,2,11
0,1,5,5,2,21
0,1,6,6,0,21
0,1,7,7,0,21
0,1,8,8,0,11
0,1,9,9,0,11
0,1,10,10,0,21
0,1,20,20,2,10
0,1,21,21,2,20
0,1,22,22,2,10
0,1,23,23,2,20
0,1,24,24,2,10
0,1,25,25,2,20
0,1,26,26,2,10
0,1,27,27,2,20
0,1,28,28,2,10
0,1,29,29,2,20
0,1,20-21,20-21,1,m-nodes
0,1,22-23,22-23,1,m-nodes
0,1,24-25,24-25,1,m-nodes
0,1,26-27,26-27,1,m-nodes
0,1,28-29,28-29,1,m-nodes
1,2,10,10,0,21
1,0,28-29,28-29,1,m-nodes
2,0,28,28,2,10
2,0,29,29,2,20
2,1,4-5,4-5,1,m-nodes
2,3,10,10,0,21
3,2,6,6,0,21
3,0,20-21,20-21,1,m-nodes
4,0,20,20,2,10
4,0,21,21,2,20
4,1,22-2,22-2,1,m-nodes
4,3,6,6,0,21
5,2,7,7,0,21
5,0,22-23,22-23,1,m-nodes
6,0,23,23,2,20
6,3,7,7,0,21
7,2,8,8,0,11
7,0,24-25,24-25,1,m-nodes
8,0,24,24,2,10
8,0,25,25,2,20
8,1,3-2,3-2,1,m-nodes
8,3,8,8,0,11
9,2,9,9,0,11
9,0,26-27,26-27,1,m-nodes
10,0,26,26,2,10
10,0,27,27,2,20
10,3,9,9,0,11
11,2,10,10,0,21
11,0,4-5,4-5,1,m-nodes
12,1,4-5,4-5,1,m-nodes
12,3,10,10,0,21
13,2,6,6,0,21
14,3,6,6,0,21
15,2,7,7,0,21
16,3,7,7,0,21
17,2,8,8,0,11
18,3,8,8,0,11
19,2,9,9,0,11
20,3,9,9,0,11
21,2,10,10,0,21
21,0,4-5,4-5,1,m-nodes
22,1,4-5,4-5,1,m-nodes
22,3,10,10,0,21
23,2,6,6,0,21
24,3,6,6,0,21
25,2,7,7,0,21
26,3,7,7,0,21
27,2,8,8,0,11
28,3,8,8,0,11
29,2,9,9,0,11
30,3,9,9,0,11
31,2,10,10,0,21
31,0,4-5,4-5,1,m-nodes
32,1,4-5,4-5,1,m-nodes
32,3,10,10,0,21
33,2,6,6,0,21
34,3,6,6,0,21
35,2,7,7,0,21
36,3,7,7,0,21
37,2,8,8,0,11
38,3,8,8,0,11
39,2,9,9,0,11
40,3,9,9,0,11
41,2,10,10,0,21
41,0,4-5,4-5,1,m-nodes
42,1,4-5,4-5,1,m-nodes
42,3,10,10,0,21
43,2,6,6,0,21
44,3,6,6,0,21
45,2,7,7,0,21
46,3,7,7,0,21
47,2,8,8,0,11
48,3,8,8,0,11
49,2,9,9,0,11
50,3,9,9,0,11
51,2,10,10,0,21
51,0,4-5,4-5,1,m-nodes
52,1,4-5,4-5,1,m-nodes
52,3,10,10,0,21
53,2,6,6,0,21
54,3,6,6,0,21
55,2,7,7,0,21
56,3,7,7,0,21
57,2,8,8,0,11
58,3,8,8,0,11
59,2,9,9,0,11
60,3,9,9,0,11
61,2,10,10,0,21
61,0,4-5,4-5,1,m-nodes
62,1,4-5,4-5,1,m-nodes
62,3,10,10,0,21
63,2,6,6,0,21
64,3,6,6,0,21
65,2,7,7,0,21
66,3,7,7,0,21
67,2,8,8,0,11
68,3,8,8,0,11
69,2,9,9,0,11
70,3,9,9,0,11
71,2,10,10,0,21
71,0,4-5,4-5,1,m-nodes
72,1,4-5,4-5,1,m-nodes
72,3,10,10,0,21
73,2,6,6,0,21
74,3,6,6,0,21
75,2,7,7,0,21
76,3,7,7,0,21
77,2,8,8,0,11
78,3,8,8,0,11
79,2,9,9,0,11
80,3,9,9,0,11
81,2,10,10,0,21
81,0,4-5,4-5,1,m-nodes
82,1,4-5,4-5,1,m-nodes
82,3,10,10,0,21
83,2,6,6,0,21
84,3,6,6,0,21
85,2,7,7,0,21
86,3,7,7,0,21
87,2,8,8,0,11
88,3,8,8,0,11
89,2,9,9,0,11
90,3,9,9,0,11
91,2,10,10,0,21
91,0,4-5,4-5,1,m-nodes
92,1,4-5,4-5,1,m-nodes
92,3,10,10,0,21
93,2,6,6,0,21
94,3,6,6,0,21
95,2,7,7,0,21
96,3,7,7,0,21
97,2,8,8,0,11
98,3,8,8,0,11
99,2,9,9,0,11
100,3,9,9,0,11
101,2,10,10,0,21
101,0,4-5,4-5,1,m-nodes
102,1,4-5,4-5,1,m-nodes
102,3,10,10,0,21
103,2,6,6,0,21
104,3,6,6,0,21
105,2,7,7,0,21
106,3,7,7,0,21
107,2,8,8,0,11
108,3,8,8,0,11
109,2,9,9,0,11
110,3,9,9,0,11
111,2,10,10,0,21
111,0,4-5,4-5,1,m-nodes
112,1,4-5,4-5,1,m-nodes
112,3,10,10,0,21
113,2,6,6,0,21
114,3,6,6,0,21
115,2,7,7,0,21
116,3,7,7,0,21
117,2,8,8,0,11
118,3,8,8,0,11
119,2,9,9,0,11
120,3,9,9,0,11
121,2,10,10,0,21
121,0,4-5,4-5,1,m-nodes
122,1,4-5,4-5,1,m-nodes
122,3,10,10,0,21
123,2,6,6,0,21
124,3,6,6,0,21
125,2,7,7,0,21
126,3,7,7,0,21
127,2,8,8,0,11
128,3,8,8,0,11
129,2,9,9,0,11
130,3,9,9,0,11
131,2,10,10,0,21
131,0,4-5,4-5,1,m-nodes
132,1,4-5,4-5,1,m-nodes
132,3,10,10,0,21
133,2,6,6,0,21
134,3,6,6,0,21
135,2,7,7,0,21
136,3,7,7,0,21
137,2,8,8,0,11
138,3,8,8,0,11
139,2,9,9,0,11
140,3,9,9,0,11
141,2,10,10,0,21
141,0,4-5,4-5,1,m-nodes
142,1,4-5,4-5,1,m-nodes
142,3,10,10,0,21
143,2,6,6,0,21
144,3,6,6,0,21
145,2,7,7,0,21
146,3,7,7,0,21
147,2,8,8,0,11
148,3,8,8,0,11
149,2,9,9,0,11
150,3,9,9,0,11
151,2,10,10,0,21
151,0,4-5,4-5,1,m-nodes
152,1,4-5,4-5,1,m-nodes
152,3,10,10,0,21
153,2,6,6,0,21
154,3,6,6,0,21
155,2,7,7,0,21
156,3,7,7,0,21
157,2,8,8,0,11
158,3,8,8,0,11
159,2,9,9,0,11
160,3,9,9,0,11
161,2,10,10,0,21
161,0,4-5,4-5,1,m-nodes
162,1,4-5,4-5,1,m-nodes
162,3,10,10,0,21
163,2,6,6,0,21
164,3,6,6,0,21
165,2,7,7,0,21
166,3,7,7,0,21
167,2,8,8,0,11
168,3,8,8,0,11
169,2,9,9,0,11
170,3,9,9,0,11
171,2,10,10,0,21
171,0,4-5,4-5,1,m-nodes
172,1,4-5,4-5,1,m-nodes
172,3,10,10,0,21
173,2,6,6,0,21
174,3,6,6,0,21
175,2,7,7,0,21
176,3,7,7,0,21
177,2,8,8,0,11
178,3,8,8,0,11
179,2,9,9,0,11
180,3,9,9,0,11
181,2,10,10,0,21
181,0,4-5,4-5,1,m-nodes
182,1,4-5,4-5,1,m-nodes
182,3,10,10,0,21
183,2,6,6,0,21
184,3,6,6,0,21
185,2,7,7,0,21
186,3,7,7,0,21
187,2,8,8,0,11
188,3,8,8,0,11
189,2,9,9,0,11
190,3,9,9,0,11
191,2,10,10,0,21
191,0,4-5,4-5,1,m-nodes
192,1,4-5,4-5,1,m-nodes
192,3,10,10,0,21
193,2,6,6,0,21
194,3,6,6,0,21
195,2,7,7,0,21
196,3,7,7,0,21
197,2,8,8,0,11
198,3,8,8,0,11
199,2,9,9,0,11
200,3,9,9,0,11
